"customer_unique_id","recency","frequency","monetary"
"0000f46a3911fa3c0805444483337064",296,1,69
"0000f6ccb0745a6a4b88665a16c9f078",80,1,25.99
"0004aac84e0df4da2b147fca70cf8255",47,1,180
"0005e1862207bf6ccc02e4228effd9a0",302,1,135
"0006fdc98a402fceb4eb0ee528f6a8d4",166,1,13.9
"00082cbe03e478190aadbea78542e933",42,1,79
"000a5ad9c4601d2bbdd9ed765d5213b3",142,1,76.99
"000bfa1d2f1a41876493be685390d6d3",93,1,35
"000c8bdb58a29e7115cfc257230fb21b",19,1,13.9
"000de6019bb59f34c099a907c151d855",136,1,229.8
"0010a452c6d13139e50b57f19f52e04e",173,1,299
"001147e649a7b1afd577e873841632dd",122,1,170
"00115fc7123b5310cf6d3a3aa932699e",344,1,59.99
"0011805441c0d1b68b48002f1d005526",251,1,269
"0011857aff0e5871ce5eb429f21cdaf5",186,1,174.33
"0011c98589159d6149979563c504cb21",148,1,99.99
"0012929d977a8d7280bb277c1e5f589d",75,1,129.9
"00191a9719ef48ebb5860b130347bf33",256,1,47.9
"001926cef41060fae572e2e7b30bd2a4",136,1,48.79
"001a2bf0e46c684031af91fb2bce149d",185,1,24.88
"001ae44fa04911a9e9577356dce6c63c",55,1,99.9
"001ae5a1788703d64536c30362503e49",23,1,89.99
"001f3c4211216384d5fe59b041ce1461",287,1,24.88
"002043098f10ba39a4600b6c52fbfe3c",280,1,176.99
"0028a7d8db7b0247652509358ad8d755",18,1,548
"00293787e2aec37a9c253b63fdfe2049",65,1,237.8
"0029bd580d3012618731f5abb174a07f",59,1,39.9
"002ae492472e45ad6ebeb7a625409392",84,1,103.98
"002b4cd83fabaffaa475f78ea5ef3e08",333,1,49.9
"002bdeb33da5b1b3ce8b9c822f749c82",26,1,23.99
"002cdf87d4c03f08f7eb4551a923affc",61,1,196.99
"002d71b244beb91ca7030b15ab526446",223,1,115
"002eb8b96288f3804e21d2777ac29895",162,1,119.9
"002feefec5af0a3b26ee7839c66d205e",63,1,59.9
"003035f5ec76f2220098377482de93c9",125,1,49.99
"00324c9f4d710e7bac5c5ba679714430",193,1,59.8
"0032c76b20340da25249092a268ce66c",451,1,128.9
"0036a074f98b80c4f1fc33dbbcf9c552",233,1,16.99
"0036b4a3d09ad551a5188c2e374da402",144,1,148
"00377a18050b898b93e2c774be9947db",36,1,49.99
"0037d2bbb9ebc39d9114aea27ee16d72",279,1,119.9
"0037eb1ff742ee2e71ba887f65f3c6f3",171,1,199
"003d56767e53e08671de00da3fba8d40",30,1,157
"003e28cb6fab8a0901bff9229612375f",293,1,119.99
"003f4901fdb60ae9c1e2538b84c208e1",42,1,148
"004177f7bf62929186b32c7fdaa6157b",73,1,393.98
"004288347e5e88a27ded2bb23747066c",157,1,229.99
"0042dcca0ae57aaec6e808edc31a2d48",29,1,69.8
"0043d65f8039b4a4d43bc7b0f450ac2c",255,1,49.9
"00444f48f6c9b55657e49435ce3a97ca",205,1,39.9
"00446a03d7a34d191507c9e42870d0a5",300,1,109.9
"0046311f458d8041b00063cb99482903",152,1,95.9
"0047f3e16441284d757a8963344f6c59",125,1,60
"0049a16516d38fc2246696172a257f16",2,1,24.99
"0049dadc30da6a277c1e9d371df5a66f",201,1,9.9
"0049db44bfd6cee26ac9c649329ff6ea",299,1,80
"004a432489f6630c6dfd3fc4454603f5",15,1,69.77
"004ad212c650c96c8a48f30855a7bcb8",98,1,NA
"004b45ec5c64187465168251cd1c9c2f",121,1,59.9
"004ed862ea4e55f18868d3d782d10879",147,1,94.9
"00522457bba00bba576a34fd9b4808fd",274,1,103.97
"00543330561a9088f8b3879114a7b008",37,1,56
"0055b522bc89cbfbf376d8b59a628470",303,1,328
"00575b2023dedcc0f3e81a938834689b",57,1,19.9
"0059acd36094bf670ec8b21be6c0044c",202,1,29.9
"005e32bc930906dc6b65fb9d11cce3e2",119,1,32
"005ee3e015ec18092d7782e507cf68fe",91,1,159.99
"005f4b46e70bbd3295a38e2fd28d6566",59,1,49.8
"005ff4ebe100db3eebbe6f7b19a8f99a",109,1,199.9
"006031108b00e5f73b2426a50b50f9c0",119,1,189.9
"0065f6fb341f013a95a8e11cdc98d07a",83,1,89.9
"0066b328e72fd82fd7420bf849c0e8b4",118,1,84.94
"006a8c1784d622ebe06bab57e72ee045",36,1,49
"006ab6f5e82340e927757563a9fbe7e4",29,1,267.2
"006d763076d74d16d66e828e79ec1544",148,1,79.9
"006e937bd5a5e32043018a6d1521b5d5",21,1,189.9
"006ec5b170182812131c7d9b219c036f",76,1,44.98
"00704e915ae0d4a236eace0267454cf9",153,1,108.9
"0071f46a072a9ae25bbe4438b15efe9c",333,1,NA
"00765d375af0e700f61c57db00a8ee63",143,1,200
"0076a71311bb2386a353f5ba87d2aa29",156,1,44.9
"00776f3807b128beca64cd0b27138d92",101,1,294.99
"0078bb0f0d23e922d08437b7d0e13907",10,1,29.99
"007953b3182d5ccc9189a694f5c68163",260,1,99.99
"0079b50e9f77c1148b472818f92eaebc",35,1,24.9
"0079b7407a428543a7f178cc09164035",32,1,48.9
"007ad549acb91673f04eac22c0568114",96,1,78.8
"00842c7d0cedb9e1edad8e9b7d148f09",270,1,35
"008778a1591d49f6b2464dffaa4fa662",165,1,249.99
"0087eede471173af78d789df249c3a45",318,1,126.99
"008d17333e414049279c7822dfd5f019",130,1,114
"008f3d5f45a11059239a5c452cd00006",339,1,309.9
"008fb2ecc75561d202dd4db2e0ceec25",214,1,32.99
"009000746b4fc73fe77ecc396fdb78d2",32,1,120.9
"009062f98089a091615b5c9faa13de26",110,1,16.17
"009210a1646725341917560a13f7799f",151,1,10.75
"009301957bc7714394865c44650d8060",191,1,84.99
"0093aeb87eca387dd153f965aa10c060",40,1,139.9
"0093c499f4f9c0e169ead490aa62ce3e",202,1,210
"0093dbe7f479386a92095026decf825d",34,1,30.21
"00941614a654458b888b8780815bd26c",277,1,174
"009671b5dc80cdf32aeb5850868ba81c",193,1,62.99
"0096c18412349537abc45e350581cbbc",292,1,679.6
"0096c9cb600a08e601f7c2be6734531a",156,1,169
"00970787f181925ba33bd32b3817f742",106,1,20.3
"0097c1e3f3c2fed7a7d8cf30be1a33df",34,1,89.9
"00986cafefb6e670cceca01694bda599",0,1,99.98
"0098f4847541cc7d676f9a5efc64c0f0",258,1,129.9
"009a0802534f904b40b9d512b49794e1",45,1,77
"009b0127b727ab0ba422f6d9604487c7",474,1,NA
"009e70fcdd4ea3769c73210414e73c64",195,1,32.9
"00a1c6913daeda0b7f9b79f802805fdb",4,1,84.99
"00a1e8f160b36ccdcbca310933f12a3b",32,1,28.7
"00a218ea82c458456098caa1c4a7e796",305,1,49.9
"00a6ee75a90222405df9d8d59babc513",178,1,25.9
"00a78b45ea275348c1a8081bef9ab61b",2,1,169.9
"00a7d14cb10e11b7f7d65120a7e3942f",263,1,49.9
