"customer_unique_id","R","F","M","RFM_Score"
"0000f46a3911fa3c0805444483337064",4,1,2,7
"0000f6ccb0745a6a4b88665a16c9f078",2,1,1,4
"0004aac84e0df4da2b147fca70cf8255",1,1,4,6
"0005e1862207bf6ccc02e4228effd9a0",4,1,3,8
"0006fdc98a402fceb4eb0ee528f6a8d4",3,1,1,5
"00082cbe03e478190aadbea78542e933",1,1,2,4
"000a5ad9c4601d2bbdd9ed765d5213b3",3,1,2,6
"000bfa1d2f1a41876493be685390d6d3",2,1,1,4
"000c8bdb58a29e7115cfc257230fb21b",1,1,1,3
"000de6019bb59f34c099a907c151d855",3,1,4,8
"0010a452c6d13139e50b57f19f52e04e",3,1,4,8
"001147e649a7b1afd577e873841632dd",2,1,4,7
"00115fc7123b5310cf6d3a3aa932699e",4,1,2,7
"0011805441c0d1b68b48002f1d005526",4,1,4,9
"0011857aff0e5871ce5eb429f21cdaf5",3,1,4,8
"0011c98589159d6149979563c504cb21",3,1,3,7
"0012929d977a8d7280bb277c1e5f589d",2,1,3,6
"00191a9719ef48ebb5860b130347bf33",4,1,1,6
"001926cef41060fae572e2e7b30bd2a4",3,1,1,5
"001a2bf0e46c684031af91fb2bce149d",3,1,1,5
"001ae44fa04911a9e9577356dce6c63c",2,1,3,6
"001ae5a1788703d64536c30362503e49",1,1,3,5
"001f3c4211216384d5fe59b041ce1461",4,1,1,6
"002043098f10ba39a4600b6c52fbfe3c",4,1,4,9
"0028a7d8db7b0247652509358ad8d755",1,1,4,6
"00293787e2aec37a9c253b63fdfe2049",2,1,4,7
"0029bd580d3012618731f5abb174a07f",2,1,1,4
"002ae492472e45ad6ebeb7a625409392",2,1,3,6
"002b4cd83fabaffaa475f78ea5ef3e08",4,1,2,7
"002bdeb33da5b1b3ce8b9c822f749c82",1,1,1,3
"002cdf87d4c03f08f7eb4551a923affc",2,1,4,7
"002d71b244beb91ca7030b15ab526446",4,1,3,8
"002eb8b96288f3804e21d2777ac29895",3,1,3,7
"002feefec5af0a3b26ee7839c66d205e",2,1,2,5
"003035f5ec76f2220098377482de93c9",3,1,2,6
"00324c9f4d710e7bac5c5ba679714430",3,1,2,6
"0032c76b20340da25249092a268ce66c",4,1,3,8
"0036a074f98b80c4f1fc33dbbcf9c552",4,1,1,6
"0036b4a3d09ad551a5188c2e374da402",3,1,3,7
"00377a18050b898b93e2c774be9947db",1,1,2,4
"0037d2bbb9ebc39d9114aea27ee16d72",4,1,3,8
"0037eb1ff742ee2e71ba887f65f3c6f3",3,1,4,8
"003d56767e53e08671de00da3fba8d40",1,1,3,5
"003e28cb6fab8a0901bff9229612375f",4,1,3,8
"003f4901fdb60ae9c1e2538b84c208e1",1,1,3,5
"004177f7bf62929186b32c7fdaa6157b",2,1,4,7
"004288347e5e88a27ded2bb23747066c",3,1,4,8
"0042dcca0ae57aaec6e808edc31a2d48",1,1,2,4
"0043d65f8039b4a4d43bc7b0f450ac2c",4,1,2,7
"00444f48f6c9b55657e49435ce3a97ca",3,1,1,5
"00446a03d7a34d191507c9e42870d0a5",4,1,3,8
"0046311f458d8041b00063cb99482903",3,1,3,7
"0047f3e16441284d757a8963344f6c59",3,1,2,6
"0049a16516d38fc2246696172a257f16",1,1,1,3
"0049dadc30da6a277c1e9d371df5a66f",3,1,1,5
"0049db44bfd6cee26ac9c649329ff6ea",4,1,2,7
"004a432489f6630c6dfd3fc4454603f5",1,1,2,4
"004ad212c650c96c8a48f30855a7bcb8",2,1,NA,NA
"004b45ec5c64187465168251cd1c9c2f",2,1,2,5
"004ed862ea4e55f18868d3d782d10879",3,1,3,7
"00522457bba00bba576a34fd9b4808fd",4,1,3,8
"00543330561a9088f8b3879114a7b008",1,1,2,4
"0055b522bc89cbfbf376d8b59a628470",4,1,4,9
"00575b2023dedcc0f3e81a938834689b",2,1,1,4
"0059acd36094bf670ec8b21be6c0044c",3,1,1,5
"005e32bc930906dc6b65fb9d11cce3e2",2,1,1,4
"005ee3e015ec18092d7782e507cf68fe",2,1,4,7
"005f4b46e70bbd3295a38e2fd28d6566",2,1,2,5
"005ff4ebe100db3eebbe6f7b19a8f99a",2,1,4,7
"006031108b00e5f73b2426a50b50f9c0",2,1,4,7
"0065f6fb341f013a95a8e11cdc98d07a",2,1,2,5
"0066b328e72fd82fd7420bf849c0e8b4",2,1,2,5
"006a8c1784d622ebe06bab57e72ee045",1,1,1,3
"006ab6f5e82340e927757563a9fbe7e4",1,1,4,6
"006d763076d74d16d66e828e79ec1544",3,1,2,6
"006e937bd5a5e32043018a6d1521b5d5",1,1,4,6
"006ec5b170182812131c7d9b219c036f",2,1,1,4
"00704e915ae0d4a236eace0267454cf9",3,1,3,7
"0071f46a072a9ae25bbe4438b15efe9c",4,1,NA,NA
"00765d375af0e700f61c57db00a8ee63",3,1,4,8
"0076a71311bb2386a353f5ba87d2aa29",3,1,1,5
"00776f3807b128beca64cd0b27138d92",2,1,4,7
"0078bb0f0d23e922d08437b7d0e13907",1,1,1,3
"007953b3182d5ccc9189a694f5c68163",4,1,3,8
"0079b50e9f77c1148b472818f92eaebc",1,1,1,3
"0079b7407a428543a7f178cc09164035",1,1,1,3
"007ad549acb91673f04eac22c0568114",2,1,2,5
"00842c7d0cedb9e1edad8e9b7d148f09",4,1,1,6
"008778a1591d49f6b2464dffaa4fa662",3,1,4,8
"0087eede471173af78d789df249c3a45",4,1,3,8
"008d17333e414049279c7822dfd5f019",3,1,3,7
"008f3d5f45a11059239a5c452cd00006",4,1,4,9
"008fb2ecc75561d202dd4db2e0ceec25",3,1,1,5
"009000746b4fc73fe77ecc396fdb78d2",1,1,3,5
"009062f98089a091615b5c9faa13de26",2,1,1,4
"009210a1646725341917560a13f7799f",3,1,1,5
"009301957bc7714394865c44650d8060",3,1,2,6
"0093aeb87eca387dd153f965aa10c060",1,1,3,5
"0093c499f4f9c0e169ead490aa62ce3e",3,1,4,8
"0093dbe7f479386a92095026decf825d",1,1,1,3
"00941614a654458b888b8780815bd26c",4,1,4,9
"009671b5dc80cdf32aeb5850868ba81c",3,1,2,6
"0096c18412349537abc45e350581cbbc",4,1,4,9
"0096c9cb600a08e601f7c2be6734531a",3,1,4,8
"00970787f181925ba33bd32b3817f742",2,1,1,4
"0097c1e3f3c2fed7a7d8cf30be1a33df",1,1,2,4
"00986cafefb6e670cceca01694bda599",1,1,3,5
"0098f4847541cc7d676f9a5efc64c0f0",4,1,3,8
"009a0802534f904b40b9d512b49794e1",1,1,2,4
"009b0127b727ab0ba422f6d9604487c7",4,1,NA,NA
"009e70fcdd4ea3769c73210414e73c64",3,1,1,5
"00a1c6913daeda0b7f9b79f802805fdb",1,1,2,4
"00a1e8f160b36ccdcbca310933f12a3b",1,1,1,3
"00a218ea82c458456098caa1c4a7e796",4,1,2,7
"00a6ee75a90222405df9d8d59babc513",3,1,1,5
"00a78b45ea275348c1a8081bef9ab61b",1,1,4,6
"00a7d14cb10e11b7f7d65120a7e3942f",4,1,2,7
"00ab8b4d83051d5a41842abe7ff473fc",1,1,3,5
"00aba8ca6b7a455bcde671692a3f9e51",1,1,1,3
"00ac9cd5c4ad19e16e7c6f6864711737",4,1,4,9
"00ad5165112e0e9a91a23b1132716584",4,1,2,7
"00adeda9b742746c0c66e10d00ea1b74",2,1,4,7
"00ae9ea276a5a4335382c9391059ddf2",2,1,3,6
"00b0595d2b0f0b838edb7fbc749ea644",3,1,3,7
"00b0d21952ae29dfe79db614512a27c2",1,1,4,6
"00b1d2492b4127598629f19a22a32be8",1,1,3,5
"00b309d0151d92709de70e43d662711b",2,1,4,7
"00b5ba65365dad1d25811bf5e45fc983",1,1,2,4
"00b72937dcd829c0d8ca72ec77cd073c",3,1,3,7
"00ba737b18a7996f68cb8a99556bedd4",3,1,3,7
"00bbfe2f540d0cfccbb098d92c503eca",2,1,2,5
"00bd169997f142571c113645554663d6",1,1,2,4
"00be1845d956d40218db17093f667764",1,1,3,5
"00bee19e1199bc5cede1c674177b9e22",1,1,4,6
"00bfe974afd63b30ed282dc69892fb98",1,1,3,5
"00c003ed13c76042b78d53fbc26930d0",4,1,4,9
"00c0bbc49a530c07c110d269211da046",1,1,3,5
"00c19498681c665889d1212be870e8df",1,1,3,5
"00c31de6420048cb3f668c99153debf7",2,1,2,5
"00c3624c55261d9ce593f30e3815a880",4,1,4,9
"00c3c74b09b2022ac2c0f43bb09797b4",1,1,2,4
"00c4592dfbfe06775ab582d7a2b8dddf",1,1,2,4
"00c4d93157cffc73cb2459f52b89cee4",2,1,2,5
"00c916ff33b521444787ac76ac6b029d",1,1,2,4
"00cc12a6d8b578b8ebd21ea4e2ae8b27",4,2,3,9
"00cc2d4fcb3a1864b4f900741915aa85",1,1,2,4
"00cc7c54469f4177319d6bb12e883652",4,1,3,8
"00cc8551c0621bc65a440e836bb652d7",4,1,2,7
"00cd767526517f8a4fc27db6cc5a52fa",3,1,2,6
"00d03b5e33f8987549c5590313a4ef21",3,1,1,5
"00d474cea9ceb88b7175d564b081dfa3",3,1,3,7
"00d7e54ab8c5d9916f19209dbaacbb3d",3,1,2,6
"00d8411c0f5ee4e0a9b8900ea483680e",1,1,4,6
"00db525fd8d4023dc446f0ed2519139f",3,1,4,8
"00dba3af1366ca8114a40bc83021f5e9",1,1,3,5
"00dd4390a8e8ad7a126e8331decc49ce",4,1,3,8
"00df9d2e50424d103ca8796e4dc7c207",3,1,3,7
"00dfebc9135c7228dbb2239afc214bb5",1,1,1,3
"00e04d8e3aaa5ffab327612642ab4564",1,1,2,4
"00e2972a013072289c3e86cfc2b9e38d",2,1,4,7
"00e57919b893c89f4d9eee8d06c41f6f",1,1,2,4
"00e5dfd6ee7406a69b74c72795e6f354",1,1,1,3
"00e5ea6932dffb682bd3d5760e84d176",2,1,2,5
"00e67cd18afc92ef0196eb8cdf31fde0",1,1,1,3
"00e707efa5ad9f0e6bcaeeb87910693b",4,1,1,6
"00e872ca2fc94e59982286e69f186e0e",3,1,4,8
"00eba9372ced7769c4b9f234923d73cc",1,1,1,3
"00ec23a308504080697e5204d3dbcb2c",1,1,3,5
"00ec5df43edcae768361caa707fded3e",1,1,2,4
